program,n_rotations,delta,tvd,detected
hhl_10,24,0.02,0.0,0
hhl_10,24,0.03,0.0,0
hhl_10,24,0.05,0.0,0
hhl_10,24,0.07,0.0,0
hhl_10,24,0.1,0.0,0
hhl_10,24,0.15,0.0,0
hhl_10,24,0.2,0.0,0
hhl_10,24,0.3,0.0,0
hhl_10,24,0.5,0.0,0
hhl_12,30,0.0,0.0,0
hhl_12,30,0.01,0.0,0
hhl_12,30,0.02,0.0,0
hhl_12,30,0.03,0.0,0
hhl_12,30,0.05,0.0,0
hhl_12,30,0.07,0.0,0
hhl_12,30,0.1,0.0,0
hhl_12,30,0.15,0.0,0
hhl_12,30,0.2,0.0,0
hhl_12,30,0.3,0.0,0
hhl_12,30,0.5,0.0,0
hhl_3,3,0.0,0.0,0
hhl_3,3,0.01,0.0,0
hhl_3,3,0.02,0.0,0
hhl_3,3,0.03,0.0,0
hhl_3,3,0.05,0.0,0
hhl_3,3,0.07,0.0,0
hhl_3,3,0.1,0.0,0
hhl_3,3,0.15,0.0,0
hhl_3,3,0.2,0.0,0
hhl_3,3,0.3,0.0,0
hhl_3,3,0.5,0.0,0
hhl_4,6,0.0,0.0,0
hhl_4,6,0.01,0.0,0
hhl_4,6,0.02,0.0,0
hhl_4,6,0.03,0.0,0
hhl_4,6,0.05,0.0,0
hhl_4,6,0.07,0.0,0
hhl_4,6,0.1,0.0,0
hhl_4,6,0.15,0.0,0
hhl_4,6,0.2,0.0,0
hhl_4,6,0.3,0.0,0
hhl_4,6,0.5,0.0,0
hhl_5,9,0.0,0.0,0
hhl_5,9,0.01,0.0,0
hhl_5,9,0.02,0.0,0
hhl_5,9,0.03,0.0,0
hhl_5,9,0.05,0.0,0
hhl_5,9,0.07,0.0,0
hhl_5,9,0.1,0.0,0
hhl_5,9,0.15,0.0,0
hhl_5,9,0.2,0.0,0
hhl_5,9,0.3,0.0,0
hhl_5,9,0.5,0.0,0
hhl_6,12,0.0,0.0,0
hhl_6,12,0.01,0.0,0
hhl_6,12,0.02,0.0,0
hhl_6,12,0.03,0.0,0
hhl_6,12,0.05,0.0,0
hhl_6,12,0.07,0.0,0
hhl_6,12,0.1,0.0,0
hhl_6,12,0.15,0.0,0
hhl_6,12,0.2,0.0,0
hhl_6,12,0.3,0.0,0
hhl_6,12,0.5,0.0,0
hhl_8,18,0.0,0.0,0
hhl_8,18,0.01,0.0,0
hhl_8,18,0.02,0.0,0
hhl_8,18,0.03,0.0,0
hhl_8,18,0.05,0.0,0
hhl_8,18,0.07,0.0,0
hhl_8,18,0.1,0.0,0
hhl_8,18,0.15,0.0,0
hhl_8,18,0.2,0.0,0
hhl_8,18,0.3,0.0,0
hhl_8,18,0.5,0.0,0
hrs_cumulative_multiplier_5,30,0.0,0.0,0
hrs_cumulative_multiplier_5,30,0.01,0.00174,1
